store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
a831e903-99c3-458c-82d0-672617656b3f,4.69,10.15,63.04,0.0,3.02,29.13
84233064-c786-423f-b19c-22137d103c16,0.0,4.37,32.65,0.0,8.13,56.85
c4bbd343-2202-433f-a428-7ddb9b12aa79,0.0,0.0,0.0,60.0,9.0,75.0
6bd38597-e8d8-439d-8f3a-12d130908a5c,0.0,4.54,31.83,0.0,7.96,55.67
d51685e5-4838-47d1-9eeb-91a0eb283d5b,34.67,20.0,130.98,0.0,0.0,9.02
d560e947-5e6d-4f59-ac81-f36b1f15ae43,8.42,6.13,42.98,25.27,7.36,51.4
fefabd23-83ac-418e-a84e-90c74fb0a3f7,0.0,0.0,0.0,0.0,11.0,77.0
ca9a6ab8-2146-4a61-a6b7-42ff3a6d488a,35.79,5.14,36.15,24.21,8.36,58.28
803922a6-4ff1-4cc9-8d2e-1efacb8e6e3a,0.0,3.45,24.26,0.0,7.55,52.74
0df9efde-41eb-4883-a735-ddaac7184a08,0.0,0.0,0.0,0.0,13.0,90.98
fe4d6193-1364-4540-a472-4060fde22ef9,0.0,0.0,0.0,0.0,11.5,80.5
b46eeb59-e059-4536-87e1-410ffde5a1dc,0.0,5.08,36.58,0.0,7.92,56.42
50925026-bfea-43d9-9f0f-8010de567cac,0.0,4.68,32.85,0.0,7.82,54.65
5dcee5c6-898c-429b-9fcf-c7b55a1fd5ee,0.0,4.68,34.68,0.0,7.82,52.82
65816b1a-a1f6-4e46-899d-3c0e38c73357,0.0,4.52,28.7,0.0,7.98,54.8
8ebad8a5-ab5a-4fed-b268-9fa5c29681d1,0.0,4.36,34.7,0.0,8.14,54.8
5faf9371-a7ae-417f-8af0-a69568f5e452,4.69,13.17,88.31,0.0,0.0,3.86
40d79cb8-f794-4e00-9743-ffb91d6230a0,0.0,0.0,0.0,60.0,24.0,168.0
a4db7589-6b17-4c9b-80c5-fa27de6e37a1,7.44,6.67,46.81,52.56,7.31,51.11
22f08335-3caf-4e04-9b37-6f614be33297,0.0,2.81,19.72,0.0,7.86,54.95
d84202cb-ac8e-470b-b17f-ffdfd9979d01,33.69,5.76,40.44,0.0,8.22,57.48
b7942aac-4cf8-4c2f-8a85-dba062c4c67e,0.0,3.37,23.65,0.0,7.63,53.35
83b84e9c-350d-41a4-be0d-8446e448e4c3,14.33,6.23,43.67,19.35,7.26,50.72
